Pos,No,Runner,Club,Category,Time
1,112,James Donald,Dundee Hawkhill Harriers,MS,00:23:04
2,173,Jamie Lessels,Fife AC,MS,00:23:46
3,126,Alistair Gudgin,Fife AC,MS,00:24:26
4,172,Nick Bennett,Dundee Road Runners,MS,00:24:43
5,160,Ruan Van Rensburg,Fife AC,MS,00:24:48
6,176,Sam Fernando,Fife AC,MS,00:25:00
7,150,Patrick O'Hare,Fife AC,MS,00:25:08
8,128,Adam Hart,Dundee Road Runners,MS,00:25:38
9,104,Mark Bell,Dundee Road Runners,M40,00:25:40
10,165,Tom Gough,Fife AC,MS,00:26:26
11,155,Tom Rainey,Anster Haddies,M40,00:27:46
12,158,Joey Smith,Fife AC,MU20,00:28:01
13,145,Stephen McQuistin,Anster Haddies,MS,00:28:24
14,159,Rhona Van Rensburg,Fife AC,F50,00:29:40
15,132,Mairi Littleson,Dundee Road Runners,FS,00:29:57
16,110,Ailsa Cruickshanks,Fife AC,FS,00:30:11
17,146,Michael Mitchell,Dundee Road Runners,M50,00:30:23
18,168,David Aitken,Dundee Road Runners,M50,00:30:39
19,131,James Kelman,Fife AC,M60,00:31:48
20,107,David Burgess,Anster Haddies,M50,00:31:54
21,109,Brian Cruickshank,Falkland Trail Runners,M60,00:31:57
22,156,Michael Reilly,Anster Haddies,M50,00:32:09
23,148,Kevin Murray,Falkland Trail Runners,M50,00:32:30
24,169,Fiona Callaghan,Dundee Road Runners,FS,00:32:44
25,118,Orla Gage,Anster Haddies,FU20,00:32:47
26,162,Christine Wilson,Fife AC,F40,00:32:52
27,130,Scott Hutchison,STAART,M40,00:32:59
28,115,Mark Feely,Anster Allsorts,M50,00:33:17
29,119,Will Gage,Anster Haddies,M50,00:33:57
30,170,Graham Rena,Dundee Road Runners,M50,00:34:03
31,149,Jane O'Donnell,Dundee Road Runners,F40,00:34:15
32,163,Dave Shepherd,Wormit Runners,M60,00:34:17
33,153,David Place,Fife AC,M60,00:34:22
34,114,Chris Edwards,Anster Haddies,M40,00:34:24
35,103,Gill Beere,Unatt.,FS,00:34:24
36,101,Lyle Allan,Falkland Trail Runners,M60,00:34:31
37,179,Nick Wade,Anster Haddies,M50,00:34:36
38,102,David Baird,Dundee Road Runners,M40,00:35:19
39,171,Laura Darling-Brackenridge,Dundee Road Runners,F40,00:35:25
40,134,Danielle MacDermid,Dundee Hawkhill Harriers,FS,00:35:33
41,113,David Dunleavey,Stratheden,M60,00:35:38
42,139,Margaret Martin,Fife AC,F60,00:36:16
43,122,Alison Gelly,Dundee Road Runners,F60,00:36:33
44,157,Martin Rollo,Dundee Road Runners,M60,00:37:00
45,127,Jeff Gunnell,Unatt.,M70,00:37:19
46,138,Rhonda Manning,Dundee Hawkhill Harriers,F50,00:37:21
47,106,Innes Bracegirdle,Fife AC,F70,00:37:29
48,136,Allison MacPherson,Falkland Trail Runners,F40,00:37:31
49,167,Steph Devlin,Dundee Road Runners,F40,00:37:47
50,117,George Findlay,Anster Haddies,M60,00:38:16
51,154,Alex Rain,Fife AC,MS,00:38:32
52,111,Georgia Dean,Unatt.,FS,00:38:51
53,135,Euan MacDermid,Dundee Hawkhill Harriers,M60,00:39:27
54,124,Freya Gibbon,Fife AC,FS,00:39:31
55,123,Keith Gelly,Dundee Road Runners,M50,00:40:00
56,181,Huw Watkins,Anster Allsorts,M40,00:40:02
57,175,Daniel Fields,Dundee Road Runners,M40,00:40:12
58,133,Zachary Loughlin,Unatt.,MS,00:40:36
59,125,Bill Gillan,Recreational Runners,M70,00:40:49
60,177,Robert Thornton,Unatt.,M60,00:41:37
61,166,Gary Barker,Fife AC,M60,00:41:47
62,137,Alyson Macpherson,Falkland Trail Runners,F60,00:41:50
63,180,Bethan McRobbie,Anster Haddies,FS,00:42:28
64,116,Fiona Findlay,Anster Haddies,FS,00:42:31
65,140,Patricia Maxwell,Dundee Hawkhill Harriers,F60,00:42:43
66,164,Magnus Niven,Fife AC,MU20,00:45:54
67,182,Catriona Duncan,Anster Haddies,F70,00:46:38
68,178,June Balgowan,Falkland Trail Runners,F50,00:48:01
69,174,Jacqueline Thomson,Falkland Trail Runners,F40,00:52:23
70,108,Jane Carle,Falkland Trail Runners,F50,00:52:25
71,121,Sandra Gardener,Falkland Trail Runners,F50,00:55:18
