Pos,No,Runner,Club,Category,Time
1,90,Charles Woodhead,Perth Road Runners,M50,24:27:00
2,89,Tania Wilson,Falkland Trail Runners,F60,24:40:00
3,88,Dominic Williams,Dundee Road Runners,MS,25:14:00
4,87,Peter Will,Perth Road Runners,M50,25:44:00
5,86,David Webster,Dundee Road Runners,MS,26:00:00
6,85,Peter Warland,Perth Road Runners,M60,26:27:00
7,84,Nick Wade,Anster Haddies,M50,26:35:00
8,83,Yulian Vasilev,Fife AC,MS,26:45:00
9,82,Ruan Van Rensburg,Fife AC,MS,27:54:00
10,81,Rhona van Rensburg,Fife AC,F50,27:59:00
11,80,John Tierney,Dundee Road Runners,M50,28:12:00
12,79,Fabienne Thompson,Lomond Hill Runners,F50,28:50:00
13,78,Jamie Stewart,Dundee Road Runners,M40,29:11:00
14,77,John Smith,Lomond Hill Runners,M50,29:15:00
15,76,Arron Small,Dundee Road Runners,MS,29:25:00
16,75,Martin Rollo,Dundee Road Runners,M60,29:58:00
17,74,Kevin Rogers,Perth Road Runners,M50,30:03:00
18,73,Lewis Rodgers,Fife AC,MS,30:10:00
19,72,Clive Roberts,Fife AC,M60,30:15:00
20,71,Logan Reilly,Anster Haddies,MU20,31:00:00
21,70,Roger Rees,Fife AC,M50,31:03:00
22,69,Logan Rees,Fife AC,MS,31:11:00
23,68,Tom Rainey,Anster Haddies,M40,31:47:00
24,67,Uche Okoro,Unatt.,MS,31:53:00
25,66,Mike Murdoch,Falkland Trail Runners,M40,32:15:00
26,65,Neill Mitchell,Fife AC,M50,32:19:00
27,64,John Mill,Dundee Road Runners,M60,32:26:00
28,63,Josh McKay,Dundee Road Runners,MS,32:42:00
29,62,John McIntosh,Dundee Road Runners,M60,32:51:00
30,61,Ross McArthur,Falkland Trail Runners,MS,32:58:00
31,60,Jennifer Massie,Dundee Road Runners,F40,33:09:00
32,59,Fiona Manson,Perth Road Runners,F50,33:17:00
33,58,Rhonda Manning,Dundee Hawkhill Harriers,F50,33:21:00
34,57,Vince MacPherson,Fife AC,M40,33:26:00
35,56,John MacPherson,Fife AC,M40,33:37:00
36,55,Allison MacPherson,Falkland Trail Runners,F40,33:46:00
37,54,Susanne Lumsden,Falkland Trail Runners,F50,33:56:00
38,53,Iain Luke,Dundee Road Runners,M70,33:58:00
39,52,Mairi Littleson,Dundee Road Runners,FS,34:14:00
40,51,Eliza Konig,Fife AC,FU20,34:43:00
41,50,Tim Kinnaird,Fife AC,M40,34:53:00
42,49,Louise Johnstone,Running Sisters Tayside,F40,35:08:00
43,48,Dominic Hughes,Dundee Road Runners,M40,35:10:00
44,47,Lynne Herd,Anster Haddies,F40,35:12:00
45,46,Adam Hart,Dundee Road Runners,MS,35:23:00
46,45,Paul Harkins,Fife AC,M40,35:41:00
47,44,James Hall,Fife AC,M40,35:46:00
48,43,Jeff Gunnell,Unatt.,M70,35:53:00
49,42,Will Grewar,Unatt.,MS,35:59:00
50,41,Robert Greig,Carnethy,MS,36:06:00
51,40,Neil Gray,Fife AC,MS,36:21:00
52,39,Billy Gibson,Dundee Hawkhill Harriers,M40,36:28:00
53,38,Keith Gelly,Dundee Road Runners,M50,36:42:00
54,37,Alan Gardener,Falkland Trail Runners,M50,36:50:00
55,36,Sandra Gardener,Falkland Trail Runners,F50,37:04:00
56,35,Will Gage,Anster Haddies,M50,37:06:00
57,34,Orla Gage,Anster Haddies,FU20,37:25:00
58,33,Heidi Fettes,Dundee Road Runners,F50,37:31:00
59,32,David Dunleavey,Stratheden,M60,37:32:00
60,31,Stephen Dickson,Fife AC,M50,38:04:00
61,30,Steph Devlin,Dundee Road Runners,F40,38:05:00
62,29,Yvonne Dehn,Anster Haddies,FS,38:24:00
63,28,Andrew Deans,Perth Road Runners,M50,38:37:00
64,27,Mike Dales,Perth Road Runners,M60,38:39:00
65,26,Gary Cuthbert,Rtc Warriors,M50,39:10:00
66,25,Russell Craig,Dundee Road Runners,M50,39:23:00
67,24,Elise Coward,Dundee Road Runners,FS,39:42:00
68,23,Elliot Collins,Perth Road Runners,MS,40:11:00
69,22,Dave Clark,Fife AC,M40,40:21:00
70,21,Fiona Callaghan,Dundee Road Runners,FS,40:38:00
71,20,Martin Butcher,PH Racing,M40,41:02:00
72,19,Paige Brown,Perth Road Runners,FS,43:21:00
73,18,Donald Brown,Lomond Hill Runners,M50,43:23:00
74,17,Abigail Brierley,East Fife Triathlon Club,FS,43:27:00
75,16,Innes Bracegirdle,Fife AC,F60,44:06:00
76,15,Clive Bowman,Perth Road Runners,M50,44:09:00
77,14,Evan Bowers,Dundee Road Runners,MS,44:14:00
78,13,Keith Bonthrone,Fife AC,M60,44:20:00
79,12,Ernesto Bonafe,Dundee Road Runners,M40,44:53:00
80,11,Mark Bell,Dundee Road Runners,M40,45:55:00
81,10,Matthew Beaney,Dundee Road Runners,M40,46:03:00
82,9,Andy Ballantyne,Kirkcaldy Wizards,M50,47:19:00
83,8,June Balgowan,Falkland Trail Runners,F50,47:37:00
84,7,David Baird,Dundee Road Runners,M40,51:08:00
85,6,Simon Anetts,Fife AC,MS,52:54:00
86,5,Heather Anderson,Fife AC,F40,53:32:00
87,4,Lyle Allan,Falkland Trail Runners,M60,53:49:00
88,3,Manuel Alderete,Dundee Road Runners,MS,54:06:00
89,2,David Aitken,Dundee Road Runners,M50,54:23:00
90,1,Dean Abberley,Perth Road Runners,MS,54:40:00
